"est" "sem"
"1" 0.016 0.819
"2" -1.119 0.743
"3" 0.641 0.559
"4" -0.419 0.714
"5" -1.35 0.701
"6" 0.431 0.587
"7" 1.418 0.642
"8" -0.117 0.777
"9" -1.161 0.73
"10" -0.372 0.726
"11" -0.921 0.773
"12" -0.987 0.776
"13" 1.108 0.681
"14" -1.016 0.756
"15" 0.187 0.806
"16" 0.119 0.704
"17" 2.107 0.619
"18" -0.978 0.758
"19" -1.135 0.736
"20" -0.03 0.771
"21" -1.101 0.743
"22" 1.09 0.612
"23" 1.453 0.621
"24" 0.148 0.687
"25" 1.511 0.649
"26" -0.77 0.8
"27" 0.685 0.632
"28" 1.108 0.675
"29" 0.412 0.598
"30" 1.116 0.632
"31" 2.569 0.653
"32" 0.639 0.601
"33" -1.031 0.756
"34" 0.698 0.794
"35" -1.122 0.74
"36" -0.986 0.762
"37" 0.369 0.73
"38" 0.98 0.699
"39" 2.653 0.618
"40" -0.797 0.803
"41" 0.179 0.816
"42" -1.112 0.739
"43" 1.633 0.613
"44" -0.947 0.77
"45" 0.732 0.708
"46" 0.575 0.596
"47" -0.659 0.834
"48" 0.757 0.674
"49" -0.421 0.711
"50" -0.144 0.649
"51" 1.196 0.642
"52" -0.713 0.675
"53" 0.211 0.831
"54" -0.102 0.76
"55" 1.25 0.592
"56" 1.608 0.715
"57" -1.155 0.731
"58" 2.592 0.596
"59" -0.948 0.767
"60" 1.594 0.648
"61" 1.655 0.711
"62" 0.765 0.682
"63" 1.653 0.662
"64" -1.252 0.721
"65" -1.053 0.756
"66" -0.622 0.842
"67" -0.889 0.782
"68" -0.612 0.844
"69" -0.571 0.707
"70" -0.498 0.718
"71" -0.331 0.755
"72" -0.492 0.853
"73" 1.141 0.585
"74" -0.567 0.702
"75" 1.327 0.61
"76" 2.34 0.666
"77" -0.164 0.768
"78" -0.707 0.822
"79" 1.804 0.676
"80" -1.106 0.745
"81" -0.913 0.639
"82" 2.826 0.611
"83" -0.908 0.774
"84" -0.259 0.744
"85" -1.172 0.729
"86" -0.422 0.708
"87" -0.662 0.686
"88" 1.166 0.789
"89" -0.904 0.779
"90" -0.711 0.811
"91" -1.031 0.757
"92" 2.236 0.676
"93" -0.631 0.682
"94" 0.46 0.654
"95" -1.013 0.763
"96" -0.872 0.789
"97" -1.135 0.735
"98" -1.069 0.742
"99" 1.865 0.674
"100" -1.028 0.758
"101" -0.3 0.756
"102" -0.522 0.865
"103" 0.458 0.638
"104" 0.028 0.685
"105" 0.553 0.561
"106" -1.281 0.718
"107" -0.88 0.778
"108" 0.898 0.603
"109" 0.096 0.601
"110" 1.56 0.717
"111" -1.2 0.722
"112" 2.066 0.612
"113" -0.897 0.779
"114" 0.08 0.61
"115" -0.877 0.786
"116" -0.015 0.667
"117" 2.189 0.657
"118" 1.101 0.567
"119" 0.011 0.771
"120" -0.382 0.73
"121" 1.337 0.742
"122" -0.889 0.779
"123" 0.966 0.672
"124" -0.595 0.684
"125" -0.799 0.798
"126" 1.47 0.724
"127" -1.238 0.716
"128" -1.236 0.721
"129" -0.198 0.578
"130" -1.219 0.721
"131" 0.288 0.726
"132" -1.149 0.735
"133" -0.363 0.727
"134" -1.156 0.73
"135" -1.044 0.754
"136" -0.808 0.806
"137" -1.015 0.756
"138" -1.016 0.753
