"est" "sem"
"1" -0.283 0.918
"2" -1.005 0.767
"3" 0.458 0.69
"4" 0.497 0.77
"5" -0.009 0.801
"6" 0.216 0.736
"7" -0.924 0.784
"8" 1.529 0.774
"9" -1.181 0.731
"10" 0.061 0.703
"11" -0.248 0.919
"12" -0.834 0.796
"13" -1.056 0.76
"14" -0.363 0.735
"15" 0.273 0.759
"16" 1.389 0.728
"17" -1.195 0.733
"18" -0.407 0.745
"19" -1.099 0.749
"20" 1.7 0.766
"21" 1.17 0.663
"22" 0.633 0.696
"23" 1.108 0.79
"24" 0.066 0.807
"25" 1.273 0.676
"26" -0.312 0.909
"27" -0.606 0.845
"28" -0.861 0.802
"29" 1.266 0.732
"30" -1.111 0.749
"31" -1.226 0.732
"32" 0.1 0.83
"33" 0.302 0.85
"34" -0.038 0.794
"35" 1.022 0.678
"36" 1.556 0.719
"37" -0.98 0.769
"38" -0.545 0.719
"39" 1.887 0.744
"40" -0.715 0.692
"41" -0.312 0.65
"42" 1.37 0.712
"43" 0.466 0.779
"44" -1.023 0.643
"45" 1.564 0.788
"46" -0.415 0.885
"47" -0.648 0.835
"48" 1.031 0.693
"49" 0.962 0.673
"50" -0.749 0.68
"51" -1.053 0.763
"52" 0.403 0.736
"53" 0.41 0.649
"54" -0.945 0.781
"55" 1.26 0.732
"56" 1.073 0.664
"57" -0.05 0.793
"58" -0.806 0.806
"59" -1.247 0.724
"60" 1.405 0.745
"61" -0.666 0.849
"62" -0.946 0.777
"63" 1.868 0.743
"64" -0.476 0.718
"65" -1.12 0.751
"66" 1.564 0.682
"67" -0.365 0.735
"68" -1.285 0.719
"69" -1.042 0.754
"70" 0.637 0.624
"71" -0.813 0.799
"72" 0.926 0.74
"73" 0.702 0.773
"74" -0.9 0.786
"75" -0.793 0.815
"76" 0.403 0.69
"77" 0.933 0.816
"78" -0.846 0.79
"79" -1.044 0.76
"80" -0.968 0.78
"81" -1.241 0.726
"82" -1.015 0.764
"83" 1.433 0.65
"84" -0.677 0.839
"85" 0.521 0.889
"86" -0.047 0.692
"87" 0.728 0.833
"88" 0.948 0.708
"89" 0.877 0.655
"90" 1.622 0.643
"91" -1.001 0.765
"92" -0.952 0.772
"93" -1.036 0.764
"94" -1.062 0.753
"95" -1.035 0.763
"96" 1.774 0.688
"97" -0.801 0.808
"98" -0.851 0.803
"99" -0.266 0.752
"100" -0.878 0.793
"101" -0.341 0.645
"102" -0.321 0.75
"103" -0.447 0.895
"104" -0.084 0.781
"105" 0.732 0.844
"106" 1.474 0.721
"107" -1.143 0.741
"108" -1.149 0.74
"109" 2.112 0.729
"110" -0.591 0.849
"111" 1.092 0.869
"112" 1.025 0.665
"113" 0.803 0.829
"114" -1.039 0.759
