user_id,item_id,result,date
697,46,1,2021-09-08 17:02:18
2883,133,0,2021-09-08 17:02:38
1810,165,1,2021-09-08 17:02:57
4109,215,0,2021-09-08 17:03:38
3665,76,1,2021-09-08 17:04:06
569,13,0,2021-09-08 17:04:15
261,279,0,2021-09-08 17:04:47
2099,282,0,2021-09-08 17:04:57
757,234,1,2021-09-08 17:05:04
2413,123,0,2021-09-08 17:05:15
4450,163,0,2021-09-08 17:05:22
3436,375,1,2021-09-08 17:05:34
2394,220,0,2021-09-08 17:05:45
3573,43,1,2021-09-08 17:05:49
2987,192,1,2021-09-08 17:05:59
1932,361,0,2021-09-08 17:06:09
1673,277,0,2021-09-08 17:06:12
2056,359,0,2021-09-08 17:06:24
64,132,1,2021-09-08 17:06:27
185,36,0,2021-09-08 17:06:35
4932,269,0,2021-09-08 17:06:39
4688,320,0,2021-09-08 17:06:46
1035,28,0,2021-09-08 17:07:16
746,139,0,2021-09-08 17:07:28
1,27,0,2021-09-08 17:08:10
4466,200,0,2021-09-08 17:08:23
842,323,1,2021-09-08 17:08:37
1720,312,0,2021-09-08 17:08:42
3235,142,1,2021-09-08 17:09:07
1881,188,0,2021-09-08 17:09:07
1538,273,0,2021-09-08 17:09:10
1947,282,0,2021-09-08 17:09:18
4993,341,0,2021-09-08 17:09:29
1965,378,0,2021-09-08 17:09:34
709,175,0,2021-09-08 17:09:35
3080,337,0,2021-09-08 17:09:36
2655,189,0,2021-09-08 17:09:45
2675,56,0,2021-09-08 17:09:58
3482,390,0,2021-09-08 17:10:15
4917,31,0,2021-09-08 17:10:37
4985,144,0,2021-09-08 17:11:00
4336,279,1,2021-09-08 17:11:04
3601,340,0,2021-09-08 17:11:08
3696,389,0,2021-09-08 17:11:38
1558,93,1,2021-09-08 17:11:40
1884,187,0,2021-09-08 17:11:50
1863,379,1,2021-09-08 17:12:05
2011,167,0,2021-09-08 17:12:34
2749,147,0,2021-09-08 17:12:54
1056,232,0,2021-09-08 17:13:20
3843,95,1,2021-09-08 17:13:51
234,216,0,2021-09-08 17:14:05
872,339,0,2021-09-08 17:14:08
4846,241,1,2021-09-08 17:14:16
4332,276,0,2021-09-08 17:15:05
2589,161,1,2021-09-08 17:15:12
498,154,1,2021-09-08 17:15:52
3333,128,1,2021-09-08 17:15:58
1522,268,0,2021-09-08 17:16:07
4015,122,0,2021-09-08 17:16:43
4938,101,0,2021-09-08 17:16:50
2988,285,0,2021-09-08 17:16:56
3738,171,0,2021-09-08 17:17:02
2552,35,0,2021-09-08 17:17:20
1721,218,1,2021-09-08 17:17:22
1549,100,0,2021-09-08 17:17:29
3057,380,0,2021-09-08 17:17:35
4911,47,0,2021-09-08 17:17:43
292,246,0,2021-09-08 17:18:02
3741,86,0,2021-09-08 17:18:03
3304,37,0,2021-09-08 17:18:19
1422,299,0,2021-09-08 17:18:43
2897,84,1,2021-09-08 17:18:44
50,142,1,2021-09-08 17:18:51
847,253,0,2021-09-08 17:18:53
3275,342,0,2021-09-08 17:19:05
770,388,0,2021-09-08 17:19:06
1872,281,1,2021-09-08 17:19:08
2786,266,0,2021-09-08 17:20:01
2643,260,0,2021-09-08 17:20:37
1698,289,0,2021-09-08 17:20:46
1231,389,0,2021-09-08 17:21:28
2428,188,0,2021-09-08 17:21:42
873,183,0,2021-09-08 17:22:00
1309,157,0,2021-09-08 17:22:15
2286,100,0,2021-09-08 17:22:15
4454,212,0,2021-09-08 17:22:27
1662,376,1,2021-09-08 17:22:27
1406,388,0,2021-09-08 17:22:35
4082,308,0,2021-09-08 17:22:46
4099,35,1,2021-09-08 17:22:53
3846,254,0,2021-09-08 17:23:05
123,286,0,2021-09-08 17:23:21
170,253,0,2021-09-08 17:23:32
1382,2,1,2021-09-08 17:23:56
1895,86,0,2021-09-08 17:24:52
1373,371,0,2021-09-08 17:24:56
3920,271,0,2021-09-08 17:24:58
3278,187,0,2021-09-08 17:25:05
58,338,0,2021-09-08 17:25:39
3460,391,0,2021-09-08 17:25:42
2318,331,0,2021-09-08 17:26:09
4237,378,0,2021-09-08 17:26:28
2861,253,0,2021-09-08 17:26:36
4211,335,1,2021-09-08 17:27:12
4571,37,0,2021-09-08 17:27:39
3447,18,0,2021-09-08 17:27:46
4408,281,0,2021-09-08 17:27:48
2148,44,0,2021-09-08 17:27:53
1232,135,1,2021-09-08 17:28:16
1772,2,0,2021-09-08 17:28:29
830,244,0,2021-09-08 17:29:02
4618,90,0,2021-09-08 17:29:03
3187,318,1,2021-09-08 17:29:06
509,295,0,2021-09-08 17:29:20
327,130,0,2021-09-08 17:29:45
4944,51,0,2021-09-08 17:30:02
765,126,0,2021-09-08 17:30:07
4670,240,0,2021-09-08 17:30:07
3351,320,0,2021-09-08 17:30:17
2511,297,0,2021-09-08 17:30:27
601,85,0,2021-09-08 17:30:33
3905,345,1,2021-09-08 17:31:10
734,155,1,2021-09-08 17:31:40
759,279,1,2021-09-08 17:31:54
1599,82,1,2021-09-08 17:32:15
90,132,1,2021-09-08 17:32:17
4666,388,0,2021-09-08 17:32:24
557,291,0,2021-09-08 17:32:51
1915,304,1,2021-09-08 17:33:06
4513,18,1,2021-09-08 17:33:10
1179,65,0,2021-09-08 17:33:12
1371,295,0,2021-09-08 17:33:36
2262,235,0,2021-09-08 17:33:37
2280,372,0,2021-09-08 17:33:40
4413,262,0,2021-09-08 17:33:55
4947,251,0,2021-09-08 17:34:05
2107,315,0,2021-09-08 17:34:19
4415,245,1,2021-09-08 17:34:49
3432,379,0,2021-09-08 17:34:57
3107,89,0,2021-09-08 17:34:59
4896,190,1,2021-09-08 17:35:05
1888,66,0,2021-09-08 17:35:31
2385,64,0,2021-09-08 17:36:02
469,258,1,2021-09-08 17:36:12
2050,130,0,2021-09-08 17:36:41
2267,214,1,2021-09-08 17:36:44
3396,199,0,2021-09-08 17:36:47
3914,106,0,2021-09-08 17:37:02
3767,158,0,2021-09-08 17:37:24
4182,184,0,2021-09-08 17:37:53
1648,125,0,2021-09-08 17:37:55
2429,119,0,2021-09-08 17:38:03
3207,13,0,2021-09-08 17:38:24
2620,273,0,2021-09-08 17:38:31
2105,346,1,2021-09-08 17:38:50
4365,236,0,2021-09-08 17:38:52
3083,295,0,2021-09-08 17:38:54
251,179,0,2021-09-08 17:39:14
4795,377,0,2021-09-08 17:39:23
2212,302,0,2021-09-08 17:39:25
3716,117,1,2021-09-08 17:39:50
3262,2,0,2021-09-08 17:39:52
1680,56,0,2021-09-08 17:40:07
1103,178,0,2021-09-08 17:40:09
1204,204,1,2021-09-08 17:40:23
3277,244,0,2021-09-08 17:40:29
2401,193,0,2021-09-08 17:40:34
3643,306,1,2021-09-08 17:40:38
3420,55,0,2021-09-08 17:40:57
4485,209,1,2021-09-08 17:41:03
4598,32,0,2021-09-08 17:41:20
2268,257,0,2021-09-08 17:41:33
4352,24,0,2021-09-08 17:41:34
4476,74,0,2021-09-08 17:41:42
3124,362,0,2021-09-08 17:41:42
3152,138,0,2021-09-08 17:42:12
3982,253,0,2021-09-08 17:42:17
44,60,1,2021-09-08 17:42:41
2468,30,0,2021-09-08 17:42:50
1491,85,0,2021-09-08 17:43:09
318,103,1,2021-09-08 17:43:18
802,178,0,2021-09-08 17:43:44
1322,74,0,2021-09-08 17:43:45
4617,253,0,2021-09-08 17:43:50
1259,91,0,2021-09-08 17:43:56
4020,2,0,2021-09-08 17:44:01
3586,184,0,2021-09-08 17:44:08
2772,173,0,2021-09-08 17:44:41
245,8,0,2021-09-08 17:44:42
4774,245,0,2021-09-08 17:44:43
2006,26,0,2021-09-08 17:44:46
1028,351,1,2021-09-08 17:45:07
3411,134,0,2021-09-08 17:45:19
2222,261,1,2021-09-08 17:45:26
3985,324,1,2021-09-08 17:45:31
784,215,0,2021-09-08 17:45:40
3980,223,0,2021-09-08 17:46:14
2139,355,0,2021-09-08 17:46:17
4025,177,0,2021-09-08 17:46:30
2225,227,0,2021-09-08 17:46:40
4851,261,1,2021-09-08 17:46:45
1156,99,0,2021-09-08 17:46:49
737,181,0,2021-09-08 17:46:53
2386,108,1,2021-09-08 17:47:37
2535,297,1,2021-09-08 17:47:55
2875,158,0,2021-09-08 17:48:01
946,376,1,2021-09-08 17:48:07
4665,45,1,2021-09-08 17:48:08
4671,334,0,2021-09-08 17:48:10
4719,289,0,2021-09-08 17:48:13
3760,263,0,2021-09-08 17:48:18
1390,36,0,2021-09-08 17:48:21
1276,96,0,2021-09-08 17:48:26
679,121,1,2021-09-08 17:48:27
978,83,1,2021-09-08 17:48:44
4135,73,0,2021-09-08 17:48:45
2327,315,0,2021-09-08 17:48:52
805,144,0,2021-09-08 17:49:04
547,103,0,2021-09-08 17:49:59
3393,330,0,2021-09-08 17:50:11
1747,212,0,2021-09-08 17:50:19
4033,355,1,2021-09-08 17:50:22
2614,79,0,2021-09-08 17:50:49
2626,351,0,2021-09-08 17:51:11
563,292,1,2021-09-08 17:51:24
917,154,0,2021-09-08 17:51:25
777,366,0,2021-09-08 17:51:28
2828,370,1,2021-09-08 17:51:42
4343,24,1,2021-09-08 17:51:45
2674,195,1,2021-09-08 17:51:53
2352,300,1,2021-09-08 17:52:33
1718,54,0,2021-09-08 17:52:43
1051,260,0,2021-09-08 17:52:48
2230,342,0,2021-09-08 17:52:48
110,338,1,2021-09-08 17:53:00
586,21,0,2021-09-08 17:53:10
4861,262,1,2021-09-08 17:53:15
620,330,0,2021-09-08 17:53:17
1512,126,0,2021-09-08 17:53:56
1906,338,0,2021-09-08 17:54:00
1466,202,0,2021-09-08 17:54:11
1455,300,0,2021-09-08 17:54:26
2834,370,0,2021-09-08 17:54:29
2957,53,0,2021-09-08 17:54:30
4587,292,0,2021-09-08 17:54:33
2466,97,1,2021-09-08 17:54:50
4554,0,0,2021-09-08 17:55:07
4122,372,0,2021-09-08 17:55:19
1674,45,0,2021-09-08 17:55:33
2714,252,0,2021-09-08 17:55:40
224,309,0,2021-09-08 17:56:02
1519,399,1,2021-09-08 17:56:08
1053,124,0,2021-09-08 17:56:22
1266,34,0,2021-09-08 17:56:25
2251,72,0,2021-09-08 17:57:01
3448,246,0,2021-09-08 17:57:04
3895,3,1,2021-09-08 17:57:09
4172,221,0,2021-09-08 17:57:20
2408,197,0,2021-09-08 17:57:34
60,55,0,2021-09-08 17:57:38
468,204,1,2021-09-08 17:57:50
2568,289,0,2021-09-08 17:57:54
2333,334,0,2021-09-08 17:57:58
2884,136,0,2021-09-08 17:58:11
3215,107,0,2021-09-08 17:58:20
389,102,1,2021-09-08 17:58:24
2539,257,0,2021-09-08 17:58:26
4105,383,1,2021-09-08 17:58:29
194,11,1,2021-09-08 17:58:49
1397,24,0,2021-09-08 17:59:30
1612,394,0,2021-09-08 17:59:41
4414,94,0,2021-09-08 17:59:47
3268,238,1,2021-09-08 18:00:41
2014,377,0,2021-09-08 18:01:01
771,235,1,2021-09-08 18:01:21
295,159,0,2021-09-08 18:01:31
1750,259,0,2021-09-08 18:01:42
84,38,0,2021-09-08 18:01:43
3607,289,0,2021-09-08 18:01:57
4833,83,0,2021-09-08 18:02:06
3246,104,0,2021-09-08 18:02:07
3272,279,1,2021-09-08 18:02:20
1614,353,1,2021-09-08 18:02:35
1935,368,0,2021-09-08 18:02:50
2971,199,0,2021-09-08 18:02:54
964,339,0,2021-09-08 18:02:55
3343,30,1,2021-09-08 18:02:59
4638,392,0,2021-09-08 18:03:39
4872,200,1,2021-09-08 18:03:48
4921,353,0,2021-09-08 18:03:53
2027,14,1,2021-09-08 18:03:59
3764,116,1,2021-09-08 18:04:29
1414,182,0,2021-09-08 18:04:46
2446,233,0,2021-09-08 18:05:00
3419,279,0,2021-09-08 18:05:07
1149,215,0,2021-09-08 18:05:14
4230,294,0,2021-09-08 18:05:27
3879,340,0,2021-09-08 18:05:43
1516,289,0,2021-09-08 18:05:54
208,159,0,2021-09-08 18:05:54
3587,309,0,2021-09-08 18:05:58
1326,20,0,2021-09-08 18:06:01
2917,151,0,2021-09-08 18:06:02
1421,380,0,2021-09-08 18:06:02
2221,20,1,2021-09-08 18:06:12
1464,211,1,2021-09-08 18:06:32
4786,326,0,2021-09-08 18:06:47
2678,12,1,2021-09-08 18:06:48
3964,55,0,2021-09-08 18:06:51
3166,393,1,2021-09-08 18:06:52
419,399,0,2021-09-08 18:06:52
3373,321,0,2021-09-08 18:07:31
2059,151,1,2021-09-08 18:07:44
3820,127,0,2021-09-08 18:08:10
4200,291,0,2021-09-08 18:08:17
4821,75,0,2021-09-08 18:08:31
4969,376,0,2021-09-08 18:08:38
3556,33,1,2021-09-08 18:09:20
2484,276,0,2021-09-08 18:09:21
439,48,0,2021-09-08 18:09:24
2763,328,0,2021-09-08 18:09:35
1154,145,1,2021-09-08 18:09:35
1238,92,0,2021-09-08 18:09:55
1949,276,1,2021-09-08 18:10:39
2,384,1,2021-09-08 18:10:55
3998,363,0,2021-09-08 18:11:01
4006,49,0,2021-09-08 18:11:06
3858,214,0,2021-09-08 18:11:16
567,372,0,2021-09-08 18:11:43
1182,203,0,2021-09-08 18:12:44
2012,305,0,2021-09-08 18:12:48
1782,236,0,2021-09-08 18:13:11
3558,176,0,2021-09-08 18:13:25
2647,45,0,2021-09-08 18:13:57
484,96,0,2021-09-08 18:14:24
503,17,0,2021-09-08 18:14:49
2829,5,0,2021-09-08 18:15:40
4860,73,0,2021-09-08 18:15:54
3498,352,0,2021-09-08 18:16:15
4977,380,1,2021-09-08 18:16:25
4885,341,0,2021-09-08 18:16:26
4704,355,0,2021-09-08 18:17:17
2296,278,0,2021-09-08 18:17:45
4959,121,1,2021-09-08 18:17:48
218,35,1,2021-09-08 18:18:00
3525,210,1,2021-09-08 18:18:07
4958,88,1,2021-09-08 18:18:10
2815,159,1,2021-09-08 18:18:40
2764,225,0,2021-09-08 18:18:45
4278,88,0,2021-09-08 18:18:49
4257,14,0,2021-09-08 18:18:49
701,64,0,2021-09-08 18:19:04
2662,360,1,2021-09-08 18:19:14
2525,276,0,2021-09-08 18:19:39
1178,210,1,2021-09-08 18:19:41
506,65,0,2021-09-08 18:19:45
4915,128,0,2021-09-08 18:19:48
4473,31,0,2021-09-08 18:20:01
2009,25,1,2021-09-08 18:20:09
1191,13,1,2021-09-08 18:20:09
3264,113,0,2021-09-08 18:20:12
3562,117,0,2021-09-08 18:20:12
4567,310,1,2021-09-08 18:20:35
939,76,0,2021-09-08 18:20:59
391,202,0,2021-09-08 18:21:01
1439,251,0,2021-09-08 18:21:07
1024,158,0,2021-09-08 18:21:57
4187,80,0,2021-09-08 18:22:14
4752,186,0,2021-09-08 18:22:43
231,347,1,2021-09-08 18:22:56
3247,348,0,2021-09-08 18:23:15
2475,383,1,2021-09-08 18:23:30
697,337,0,2021-09-08 18:23:40
455,112,0,2021-09-08 18:23:53
3178,34,0,2021-09-08 18:23:55
3635,0,1,2021-09-08 18:24:02
4071,275,0,2021-09-08 18:24:36
760,100,0,2021-09-08 18:24:52
3176,320,0,2021-09-08 18:25:15
1060,397,1,2021-09-08 18:25:18
2753,46,0,2021-09-08 18:25:27
112,210,1,2021-09-08 18:25:41
4064,336,0,2021-09-08 18:25:58
3641,224,1,2021-09-08 18:26:15
1159,363,0,2021-09-08 18:26:38
4815,363,1,2021-09-08 18:26:38
4391,312,0,2021-09-08 18:27:13
1628,238,0,2021-09-08 18:27:34
763,124,0,2021-09-08 18:27:46
4397,378,0,2021-09-08 18:28:21
909,90,1,2021-09-08 18:28:24
3316,192,1,2021-09-08 18:28:28
2061,111,0,2021-09-08 18:28:35
1610,163,0,2021-09-08 18:28:52
654,1,0,2021-09-08 18:29:36
2813,151,0,2021-09-08 18:29:46
1985,47,0,2021-09-08 18:29:49
4954,148,1,2021-09-08 18:30:05
2745,173,0,2021-09-08 18:30:09
2650,184,0,2021-09-08 18:30:41
4613,112,0,2021-09-08 18:30:50
